IČO;Název;Okres
00288390;Městys Kralice na Hané;Prostějov
00267716;Městys Krucemburk;Havlíčkův Brod
00245950;Městys Křemže;Český Krumlov
00239364;Městys Křinec;Nymburk
00243973;Městys Křivoklát;Rakovník
00232076;Městys Křivsoudov;Benešov
00294616;Městys Křižanov;Žďár nad Sázavou
00280429;Městys Křtiny;Blansko
00279099;Městys Kunvald;Ústí nad Orlicí
00240893;Městys Lázně Toušeň;Praha - východ
00245135;Městys Ledenice;České Budějovice
00263877;Městys Levín;Litoměřice
00250546;Městys Lhenice;Prachatice
00267791;Městys Libice nad Doubravou;Havlíčkův Brod
00479411;Městys Liblín;Rokycany
00275891;Městys Libštát;Semily
00233501;Městys Liteň;Beroun
00287431;Městys Litenčice;Kroměříž
00300381;Městys Litultovice;Opava
00280577;Městys Lomnice;Brno - venkov
